1,2,3,return,risk,SR
AAPL,WMT,VZ,1.139528628694264,1.0717889259500506,0.010632024656199614
AAPL,WMT,HD,1.2832470482774916,1.9693720321843107,0.00651602148962271
AAPL,WMT,CRM,2.064124009053403,2.9509456689159257,0.006994788249733144
AAPL,WMT,PG,1.3128853810649987,1.5034359886499757,0.008732565875610816
AAPL,WMT,MRK,1.1656800193513117,1.1444059696463298,0.010185896004296067
AAPL,WMT,HON,1.1177043210421012,1.5547245393835656,0.007189082649234191
AAPL,WMT,UNH,1.1961359846301978,1.962723316102859,0.006094266954576254
AAPL,WMT,KO,1.24527291709704,1.1333498589592725,0.010987541995554169
AAPL,WMT,WBA,1.3130463006721715,1.103091332427496,0.011903332589719859
AAPL,WMT,NKE,1.5140360500788264,1.5254427026540207,0.00992522398543486
AAPL,WMT,GS,1.1271180593630303,1.6306872954386908,0.006911920283648318
AAPL,WMT,TRV,1.0129942789348423,1.3414064883189472,0.007551732362680967
AAPL,WMT,MCD,1.079892485562195,1.6899562042215865,0.006390061960567825
AAPL,WMT,MMM,1.2069274467110702,1.5530510488629907,0.007771331454910499
AAPL,WMT,MSFT,1.8288815807810277,2.2187940524432546,0.00824268290591067
AAPL,WMT,CAT,1.1294616241175337,1.3400848997376351,0.008428284091094992
AAPL,WMT,AMGN,0.9038226417179329,1.2229170027080083,0.007390711223382471
AAPL,WMT,JPM,1.090134614046523,1.2628402597442634,0.008632403074220052
AAPL,WMT,CSCO,1.54504246538123,1.3916001118585035,0.011102632517884767
AAPL,WMT,JNJ,1.3688232566715142,1.6932275942686095,0.008084106716101434
AAPL,WMT,DIS,1.2277834050471448,1.5781945055635322,0.007779671014687351
AAPL,WMT,AXP,1.39777026196235,1.649304397545516,0.008474907749245699
AAPL,WMT,IBM,1.219442678345528,1.3587970658962254,0.008974428256814177
AAPL,WMT,V,1.5926625186022392,2.225468821428834,0.007156525866669704
AAPL,WMT,DOW,1.473539393358858,1.2677008563236223,0.011623715374241957
AAPL,WMT,INTC,1.4157608178697378,1.183937464402966,0.011958070932265625
AAPL,WMT,BA,1.1741622504637172,2.619102387610387,0.004483071207975942
AAPL,WMT,CVX,1.3045151196752869,1.5309641698443255,0.008520872959475826
AAPL,VZ,HD,1.2237632970419021,1.6258230760529766,0.00752703855091565
AAPL,VZ,CRM,2.1535365758506675,2.5981781377035356,0.008288640969606974
AAPL,VZ,PG,1.2349487569415007,1.142068877714222,0.010813259874598559
AAPL,VZ,MRK,1.0308974148814931,0.7821463932577458,0.013180363980042988
AAPL,VZ,HON,1.0208438153821442,1.1929227811105496,0.008557501219247327
AAPL,VZ,UNH,1.132101818846154,1.6026513808258238,0.007063930636385798
AAPL,VZ,KO,1.115141808085518,0.7751292982892907,0.014386526358204166
AAPL,VZ,WBA,1.2061423681092975,0.7459891754887901,0.0161683628628928
AAPL,VZ,NKE,1.484672084710792,1.1744130953605751,0.012641821609243544
AAPL,VZ,GS,1.039031698806947,1.304599773347751,0.007964371296345344
AAPL,VZ,TRV,0.8847921046921225,0.9801756230096935,0.009026873183963812
AAPL,VZ,MCD,0.9868365637011767,1.335280984380087,0.007390478672616776
AAPL,VZ,MMM,1.123960479358166,1.2012031726588508,0.009356955633660964
AAPL,VZ,MSFT,1.8764837638405751,1.8572735944231782,0.01010343209247727
AAPL,VZ,CAT,1.014043485471583,0.9793494321206913,0.010354256123636739
AAPL,VZ,AMGN,0.7662387773139434,0.8674044752657718,0.00883369637998661
AAPL,VZ,JPM,0.9571841378861023,0.928986709602926,0.01030352886636267
AAPL,VZ,CSCO,1.519566023839114,1.032008141666866,0.014724360811580035
AAPL,VZ,JNJ,1.3131599015815398,1.335695793745394,0.009831279754945833
AAPL,VZ,DIS,1.143629829971271,1.2213377825736698,0.009363747247394178
AAPL,VZ,AXP,1.345385659935805,1.28945769532028,0.010433732450614701
AAPL,VZ,IBM,1.12393305662144,1.0137466031387685,0.011086923035219172
AAPL,VZ,V,1.58742727756771,1.864427791686073,0.008514286713845534
AAPL,VZ,DOW,1.4219753640484445,0.9124240717332753,0.015584588439750458
AAPL,VZ,INTC,1.342592386815289,0.8251289297355072,0.016271304258422416
AAPL,VZ,BA,1.1237941694797637,2.2611018731380077,0.004970117369900442
AAPL,VZ,CVX,1.2272144064593649,1.1782237285964416,0.0104158011477267
AAPL,HD,CRM,1.9276474349446016,3.517737489560617,0.005479793306536283
AAPL,HD,PG,1.3406320483892342,2.0387947625364626,0.006575610615760829
AAPL,HD,MRK,1.2371505329729304,1.703872882755376,0.00726081473268301
AAPL,HD,HON,1.1821765969739273,2.091158430024421,0.005653213931572471
AAPL,HD,UNH,1.2367593528034515,2.506263264471408,0.004934674542517761
AAPL,HD,KO,1.2991521000202955,1.680754752881806,0.007729575643280387
AAPL,HD,WBA,1.3482386699436022,1.6719215233655291,0.008064006899257072
AAPL,HD,NKE,1.4929741238839833,2.124078495034247,0.007028808621594334
AAPL,HD,GS,1.189752184958781,2.2532705912462228,0.005280112337953878
AAPL,HD,TRV,1.1045701587758305,1.8956333629378948,0.005826918751123599
AAPL,HD,MCD,1.1462105466521377,2.1744521849164276,0.0052712612151376926
AAPL,HD,MMM,1.2555663643601722,2.1291768503325015,0.005896956676774395
AAPL,HD,MSFT,1.7344414974919342,2.741069963876779,0.00632760754139548
AAPL,HD,CAT,1.2004760050040142,1.8989383602838041,0.006321827133054483
