1,2,3,return,risk,SR
max profit: AAPL,CRM,MSFT,2.502864257591053,3.7181462520428137,0.0067314841534701
min risk: VZ,KO,WBA,0.7032073176945763,0.4726611416650769,0.0148776206822786
max SR: AAPL,WBA,INTC,1.6067567257107562,0.8971685934779421,0.0179091949650404

--- Time taken: 20.829468965530396 s ---
