Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,97.97000122070312,98.36000061035156,97.55999755859375,97.81999969482422,93.32726287841797,8505800
2019-04-02,97.76000213623047,98.30999755859375,96.9000015258789,96.94000244140625,92.48767852783203,6274000
2019-04-03,97.12000274658203,97.4000015258789,96.79000091552734,97.19000244140625,92.72620391845703,5687500
2019-04-04,97.25,98.27999877929688,97.23999786376953,98.11000061035156,93.60393524169922,4026300
2019-04-05,98.25,99.19999694824219,98.16000366210938,98.83000183105469,94.2908706665039,4656000
2019-04-08,98.44999694824219,99.25,98.26000213623047,99.2300033569336,94.67250061035156,5422400
2019-04-09,98.80000305175781,99.2300033569336,98.1500015258789,98.69000244140625,94.15730285644531,4367500
2019-04-10,98.51000213623047,99.72000122070312,98.5,99.5999984741211,95.02549743652344,4091100
2019-04-11,99.69999694824219,100.83000183105469,99.47000122070312,100.80000305175781,96.17040252685547,5606900
2019-04-12,101.0,102.0199966430664,101.0,101.55999755859375,96.89547729492188,5162000
2019-04-15,101.30000305175781,102.91000366210938,101.26000213623047,102.43000030517578,97.72552490234375,5111900
2019-04-16,102.88999938964844,103.38999938964844,102.54000091552734,102.93000030517578,98.20256042480469,4828400
2019-04-17,103.0,103.4000015258789,102.41000366210938,103.16000366210938,98.42198944091797,3729200
2019-04-18,103.11000061035156,103.80000305175781,102.88999938964844,103.18000030517578,98.44107055664062,3727800
2019-04-22,102.77999877929688,103.54000091552734,102.16999816894531,102.37000274658203,97.66828918457031,5079400
2019-04-23,102.52999877929688,103.29000091552734,101.94000244140625,103.06999969482422,98.33613586425781,5050800
2019-04-24,103.13999938964844,103.8499984741211,103.08999633789062,103.52999877929688,98.77501678466797,4697800
2019-04-25,103.23999786376953,104.1500015258789,102.83000183105469,103.5199966430664,98.76545715332031,3961100
2019-04-26,100.44999694824219,102.33999633789062,99.66000366210938,101.52999877929688,96.86685943603516,8107700
2019-04-29,101.87999725341797,102.0,100.77999877929688,101.55999755859375,96.89547729492188,6379700
2019-04-30,101.7699966430664,102.91999816894531,101.44999694824219,102.83999633789062,98.11669921875,6133600
